constraint_id,context,chi,KL_fwd,KL_rev,d_FR,H_sq,max_tvd,argmax_cl,argmax_idx,type_match
absorbing_markov_chains,powerless,0.13626,3.4346537563711765e-05,4.5223191572931926e-05,0.008857106121077471,1.96120501570497e-05,9.590132227277337e-05,mountain,mountain,True
absorbing_markov_chains,moderate,0.119997,5.20001217344988e-13,5.201083342946381e-13,1.0198318143051182e-06,2.6001892869159244e-13,8.784403426886911e-09,mountain,mountain,True
absorbing_markov_chains,institutional,-0.014325,0.1284401449351297,0.7827068540665388,0.6936118460530667,0.11907367763998677,0.12101574044094598,mountain,mountain,True
absorbing_markov_chains,analytical,0.165603,0.0016492319606454511,0.004548428894057699,0.07145182586297744,0.0012762051067322904,0.0018905568153703145,mountain,mountain,True
abstraction_boundary_overrun,powerless,0.56518,0.015735682030402015,0.01863339133175189,0.18489135306452306,0.008540118377482935,0.054556274914784875,tangled_rope,tangled_rope,True
abstraction_boundary_overrun,moderate,0.403807,0.17454337894658456,0.06356422504522904,0.4422005937005573,0.04868651744892636,0.06869607326445634,tangled_rope,tangled_rope,True
abstraction_boundary_overrun,institutional,-0.021971,3.757999189346797,11.760093726149362,2.595835431515737,1.4609907014487429,0.922272834686685,tangled_rope,rope,False
abstraction_boundary_overrun,analytical,0.712364,0.00035312701733769634,0.0003966827466325528,0.026941111476974387,0.000181453128067164,0.00573448843836008,tangled_rope,tangled_rope,True
academic_fashion_modernism_2026,powerless,0.3016,4.913419709859274,0.9976192148909532,1.8013504719600217,0.7578382078243593,0.6245286172438945,snare,tangled_rope,False
academic_fashion_modernism_2026,moderate,0.641765,0.00016426996337572764,0.00016785656282097117,0.018216179516110462,8.295672554950964e-05,0.008234130903001735,snare,snare,True
academic_fashion_modernism_2026,institutional,-0.024506,14.439798659048506,14.309590779546705,2.6658783839732627,1.5287587281306951,0.8519526812206717,snare,rope,False
academic_fashion_modernism_2026,analytical,0.79456,1.0252842239420819,0.6963920748577435,1.2882920739168253,0.4007742464903634,0.5543674708071646,snare,tangled_rope,False
academic_peer_review_gatekeeping,powerless,0.3016,4.60890240321557,0.8879982389886178,1.7135298390698241,0.6902285371217315,0.5804703032362672,snare,tangled_rope,False
academic_peer_review_gatekeeping,moderate,0.641765,0.00015636221439389666,0.00015727051780184566,0.017706807349165528,7.838224463876557e-05,0.00854642793593241,snare,snare,True
academic_peer_review_gatekeeping,institutional,0.169004,10.400459174959087,1.9360337798423504,1.8045896622753106,0.7603785398215106,0.5805810596199324,snare,tangled_rope,False
academic_peer_review_gatekeeping,analytical,0.79456,0.985921946818423,0.6263520922588168,1.2412584679999572,0.37297462302636963,0.5212606973425843,snare,tangled_rope,False
academic_tenure_system,powerless,0.3016,2.807044287377783,0.4472056606692963,1.2401399710016072,0.372324418734608,0.34156147503370826,tangled_rope,tangled_rope,True
academic_tenure_system,moderate,0.641765,0.00014720511567843303,0.00014918500633564693,0.01721181580207176,7.406119370805863e-05,0.007970301462721041,tangled_rope,tangled_rope,True
academic_tenure_system,institutional,0.112235,7.507067971815119,5.259320181240983,1.7146522194518303,0.6910769575071549,0.34980080246011813,tangled_rope,tangled_rope,True
academic_tenure_system,analytical,0.79456,0.6609021777559156,0.32471147142960155,0.9441391753318671,0.21874181676951296,0.3185068097297649,tangled_rope,tangled_rope,True
access_arbitrage,powerless,0.56518,0.04421875747633546,0.04683023926917067,0.301647858175195,0.022704768184582856,0.1445364428073025,tangled_rope,tangled_rope,True
access_arbitrage,moderate,0.575376,0.057707594538411414,0.061295890922908415,0.34484686482406945,0.029656257715577946,0.16601679065891467,tangled_rope,tangled_rope,True
access_arbitrage,institutional,-0.03817,7.785397277660619,12.214018366254159,2.6096972320742204,1.4743524421193683,0.9000755567288655,tangled_rope,rope,False
access_arbitrage,analytical,0.712364,0.0008442050409779833,0.0008335699099327685,0.04089195602713298,0.000418023454152575,0.018305166171026566,tangled_rope,tangled_rope,True
acip_hep_b_infant_mandate,powerless,0.31202,0.00040528212633926563,0.0005020484569707849,0.029942545163811774,0.00022413481622826414,0.002977362434200992,rope,rope,True
acip_hep_b_infant_mandate,moderate,0.251332,0.00014607505087384888,0.00012176828043783583,0.016292634651191608,6.636211897181393e-05,0.0014236411716446185,rope,rope,True
acip_hep_b_infant_mandate,institutional,-0.011831,0.02103792349598833,0.02816013455174387,0.21619066973765214,0.011673228358331829,0.03734270177310058,rope,rope,True
acip_hep_b_infant_mandate,analytical,0.383581,0.012093003285715252,0.02651326781864155,0.1830593730051723,0.008371836345912136,0.02315682404574737,rope,rope,True
ad_fus_coordination,powerless,0.413016,0.0004909801252244756,0.0004505687295599714,0.030216463035452334,0.00022825431779171276,0.0005483482752362347,tangled_rope,tangled_rope,True
ad_fus_coordination,moderate,0.420467,0.00072193351642639,0.0006839131120340436,0.03663752066046382,0.0003355675958158039,0.0006085596993946139,tangled_rope,tangled_rope,True
ad_fus_coordination,institutional,0.060189,1.810321513764867,5.517130128241365,2.25494600934831,1.1421122227763953,0.8366725797951972,tangled_rope,rope,False
ad_fus_coordination,analytical,0.520574,0.00963885718867528,0.024293562831004614,0.15571994285238175,0.006059113271970456,0.00662469969608963,tangled_rope,tangled_rope,True
ad_synaptic_deficit,powerless,0.3536,0.9894703563634154,9.82304969530312,1.8173608089194566,0.7704259191344506,0.6289826741314828,snare,rope,False
ad_synaptic_deficit,moderate,0.752415,0.0008222342859972201,0.0013231690851986415,0.04534528287450537,0.0005140266496167021,0.0014771674925651013,snare,snare,True
ad_synaptic_deficit,institutional,0.074884,23.015781616051292,18.45013291551177,3.140995069784106,1.999402416203204,0.9995478132278975,snare,rope,False
ad_synaptic_deficit,analytical,0.931553,1.9110941477620713,6.150605070481884,2.3114800716772472,1.193517114960814,0.8523271595649293,snare,tangled_rope,False
adaptive_lag_trap,powerless,0.56518,0.015308837958334636,0.01814966455904315,0.1824187315823387,0.008313382654585465,0.05310886006143001,tangled_rope,tangled_rope,True
adaptive_lag_trap,moderate,0.575376,0.02033699050940249,0.024631494894209245,0.21132627166073997,0.01115431459790016,0.06272801127219141,tangled_rope,tangled_rope,True
adaptive_lag_trap,institutional,0.100624,1.95953150314976,5.712598521707291,1.6143605417757436,0.616924034357286,0.487739518452919,tangled_rope,tangled_rope,True
adaptive_lag_trap,analytical,0.712364,0.00029343407964333324,0.00029379993189696587,0.023944603864314434,0.00014333430146194396,0.005566643326319079,tangled_rope,tangled_rope,True
adversarial_surface_inflation,powerless,0.2704,3.705115663738418,0.5410761358850688,1.3542046046206728,0.44121699241478246,0.3929679953716248,tangled_rope,tangled_rope,True
adversarial_surface_inflation,moderate,0.575376,0.06317230823630575,0.06374168518735344,0.35624290991837576,0.03164345650068084,0.1770532470677994,tangled_rope,snare,False
adversarial_surface_inflation,institutional,-0.021971,9.538294283685563,11.742655729203673,2.5310511590249654,1.3988971686600122,0.8515052948782101,tangled_rope,rope,False
