constraint_id,h1,max_tvd,t13_fires,worst_context,d_FR_worst,KL_fwd_worst,KL_rev_worst,asymmetry_ratio,argmax_cl,argmax_idx
absorbing_markov_chains,0,0.12101574044094598,False,institutional,0.6936118460530667,0.1284401449351297,0.7827068540665388,0.8359026188823807,mountain,mountain
abstraction_boundary_overrun,0,0.922272834686685,False,institutional,2.595835431515737,3.757999189346797,11.760093726149362,0.6804447926302974,tangled_rope,rope
academic_fashion_modernism_2026,0,0.8519526812206717,False,institutional,2.6658783839732627,14.439798659048506,14.309590779546705,0.009017291901103381,snare,rope
academic_peer_review_gatekeeping,0,0.5805810596199324,False,institutional,1.8045896622753106,10.400459174959087,1.9360337798423504,0.8138511245249932,snare,tangled_rope
academic_tenure_system,0,0.34980080246011813,False,institutional,1.7146522194518303,7.507067971815119,5.259320181240983,0.2994175354496834,tangled_rope,tangled_rope
access_arbitrage,0,0.9000755567288655,False,institutional,2.6096972320742204,7.785397277660619,12.214018366254159,0.3625851014625358,tangled_rope,rope
acip_hep_b_infant_mandate,0,0.03734270177310058,False,institutional,0.21619066973765214,0.02103792349598833,0.02816013455174387,0.2529182182233033,rope,rope
ad_fus_coordination,0,0.8366725797951972,False,institutional,2.25494600934831,1.810321513764867,5.517130128241365,0.671872609185326,tangled_rope,rope
ad_synaptic_deficit,0,0.9995478132278975,False,institutional,3.140995069784106,23.015781616051292,18.45013291551177,0.19837035199167088,snare,rope
adaptive_lag_trap,3,0.487739518452919,True,institutional,1.6143605417757436,1.95953150314976,5.712598521707291,0.656980707517999,tangled_rope,tangled_rope
adversarial_surface_inflation,0,0.8515052948782101,False,institutional,2.5310511590249654,9.538294283685563,11.742655729203673,0.18772256432894663,tangled_rope,rope
adversarial_truth_decay,0,0.9825233168324665,False,institutional,2.850629053313121,6.837957555278584,6.81542132083099,0.0032957552405684966,snare,tangled_rope
advice_as_dangerous_gift,0,0.8739834064264257,False,institutional,2.572230584920703,9.073287831113628,12.59353946596149,0.27952837598695673,tangled_rope,rope
agentive_optimism_2026,5,0.857166363758337,True,institutional,2.6459099470214937,13.451264551256886,14.253966909424056,0.0563143132903207,snare,rope
agg1_genetic_determinism,5,0.8396707575932139,True,institutional,2.4829024775893442,8.56686826442456,13.076887146688302,0.34488474448645035,tangled_rope,rope
